# time x y z qx qy qz qw vx vy vz ba_x ba_y ba_z bg_x bg_y bg_z
0.395000000 9.997594091 9.990378681 9.961551751 0.170519051 0.169971123 0.106868495 0.964682432 -0.012180839 -0.048699911 -0.194424796 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.400000000 9.997532802 9.990133642 9.960573507 0.172682907 0.171804765 0.108470506 0.963793487 -0.012334976 -0.049315559 -0.196872983 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.405000000 9.997470742 9.989885525 9.959583022 0.174844424 0.173629184 0.110076490 0.962894335 -0.012489112 -0.049931177 -0.199320684 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.410000000 9.997407911 9.989634330 9.958580301 0.177003516 0.175444350 0.111686357 0.961985027 -0.012643245 -0.050546763 -0.201767893 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.415000000 9.997344309 9.989380058 9.957565344 0.179160095 0.177250232 0.113300018 0.961065618 -0.012797377 -0.051162319 -0.204214605 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.420000000 9.997279937 9.989122707 9.956538155 0.181314075 0.179046804 0.114917384 0.960136159 -0.012951507 -0.051777844 -0.206660812 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.425000000 9.997214794 9.988862279 9.955498737 0.183465370 0.180834037 0.116538364 0.959196705 -0.013105634 -0.052393336 -0.209106510 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.430000000 9.997148881 9.988598774 9.954447091 0.185613894 0.182611906 0.118162868 0.958247312 -0.013259760 -0.053008796 -0.211551691 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.435000000 9.997082196 9.988332191 9.953383221 0.187759560 0.184380384 0.119790808 0.957288036 -0.013413884 -0.053624223 -0.213996351 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.440000000 9.997014742 9.988062532 9.952307128 0.189902285 0.186139447 0.121422093 0.956318934 -0.013568005 -0.054239617 -0.216440482 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.445000000 9.996946516 9.987789795 9.951218817 0.192041984 0.187889071 0.123056633 0.955340064 -0.013722125 -0.054854978 -0.218884080 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.450000000 9.996877521 9.987513982 9.950118289 0.194178572 0.189629233 0.124694339 0.954351485 -0.013876242 -0.055470305 -0.221327138 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.455000000 9.996807754 9.987235092 9.949005546 0.196311966 0.191359911 0.126335120 0.953353258 -0.014030357 -0.056085598 -0.223769649 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.460000000 9.996737217 9.986953126 9.947880593 0.198442082 0.193081084 0.127978886 0.952345441 -0.014184470 -0.056700856 -0.226211608 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.465000000 9.996665909 9.986668084 9.946743431 0.200568838 0.194792730 0.129625548 0.951328098 -0.014338581 -0.057316079 -0.228653009 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.470000000 9.996593831 9.986379965 9.945594064 0.202692151 0.196494832 0.131275015 0.950301291 -0.014492690 -0.057931267 -0.231093846 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.475000000 9.996520982 9.986088771 9.944432494 0.204811940 0.198187369 0.132927197 0.949265082 -0.014646796 -0.058546419 -0.233534113 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.480000000 9.996447363 9.985794501 9.943258724 0.206928123 0.199870324 0.134582005 0.948219537 -0.014800900 -0.059161535 -0.235973804 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.485000000 9.996372973 9.985497156 9.942072757 0.209040619 0.201543680 0.136239349 0.947164719 -0.014955002 -0.059776614 -0.238412912 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.490000000 9.996297813 9.985196735 9.940874596 0.211149348 0.203207421 0.137899138 0.946100695 -0.015109102 -0.060391657 -0.240851432 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.495000000 9.996221882 9.984893239 9.939664243 0.213254230 0.204861531 0.139561283 0.945027531 -0.015263199 -0.061006662 -0.243289358 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.500000000 9.996145181 9.984586669 9.938441703 0.215355186 0.206505997 0.141225694 0.943945295 -0.015417294 -0.061621630 -0.245726683 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.505000000 9.996067710 9.984277023 9.937206978 0.217452137 0.208140804 0.142892281 0.942854055 -0.015571386 -0.062236559 -0.248163402 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
